str_fixture_id,str_outlet,viewership,str_competition_name,str_sport_name,str_fixture_date,ttl_customers,engagement_rate
9lwouuee70dwgq7tna6z1br03,italy,117220,Serie B,Soccer,2020-03-07,1891617.0,0.061968146828877094
f2jqywuu8wjh64g5kifes50q,dach,12177,Primera División,Soccer,2020-07-13,2180565.0,0.00558433250098025
67whhll0an24poi3duw5ksiy,dach,133234,Primera División,Soccer,2020-06-21,2154544.0,0.06183860714842677
55rtvu22e4mvf47zr75uhap6,dach,39649,Primera División,Soccer,2020-06-20,2158718.0,0.018366919625444362
by5jo3b5rm4puug3y9zakqwdm,japan,143446,J2 League,Soccer,2019-12-01,1763270.0,0.08135226028912192
bqr4d7lhsdqebzvgpm6q0e3qi,japan,181538,Play-offs 1/2,Soccer,2019-12-14,1782454.0,0.10184722859608158
f547xxlaz6ialchdgzkbgyd0q,italy,11349,Primera División,Soccer,2020-02-29,1903565.0,0.0059619713537494125
6xkfqepx95face68did0jr4h6,italy,5249,Ligue 1,Soccer,2020-02-23,1905399.0,0.0027548035870702146
5abi3hdzzxwhglzz0tqba7j3e,dach,430357,UEFA Champions League,Soccer,2019-12-10,2563260.0,0.16789440009987283
8185fdy1ss4o0e8r64vagcvhm,japan,1989,NFL,American Football,2019-12-01,1763270.0,0.00112801783050809
devo98u6lc7jc6c6hki03zwiy,brazil,5612,CONMEBOL Sudamericana,Soccer,2020-02-11,292033.0,0.01921700629723353
8wy20aykfbnh3y4dhd8v7amay,dach,35090,NCAA Division I,Basketball,2020-01-18,2367967.0,0.014818618671628448
40gh49hcoc77bbj0magj9tu22,dach,7947,Liga ACB,Basketball,2020-06-17,2178582.0,0.0036477855779585068
7j5rfwosar9dm5mt9gixnkui2,dach,45616,NBA,Basketball,2020-01-19,2383428.0,0.019138820220287754
1znamxxka8dp1ged3rtopky22,japan,133110,NPB,Baseball,2020-07-19,1879544.0,0.07082036919593263
zr8jdawq2hklzjd2unkkee0a,japan,21213,J3 League,Soccer,2020-07-19,1879544.0,0.01128624815380752
zhrgqdwf2hss2vluxako13ze,japan,13599,J3 League,Soccer,2020-07-19,1879544.0,0.007235265575054375
esemou6ynnjrqsrt9qtb6ybu2,dach,42842,Primera División,Soccer,2019-12-22,2557568.0,0.016751069766277965
4ti604epds4jauze5e0kfmbts,dach,7440,IBU World Cup,Biathlon,2019-12-22,2557568.0,0.0029090135628847403
9gmm0168ghkdemte1fnnjvvxm,japan,61804,FIA F1 World Championship,Motorsport,2020-07-03,1775020.0,0.03481876260549177
5a0f8dzek63do0ds9tk2cleui,dach,695169,UEFA Champions League,Soccer,2019-11-05,2409321.0,0.2885331593424039
5s57kwo24ngx39fyeeye3o16,japan,14444,Primera División,Soccer,2020-06-20,1578437.0,0.009150824518178426
44qr5b2fbp8hdaq8xc1wotdnu,italy,141962,Serie A,Soccer,2020-06-23,1643896.0,0.08635704448456594
f04b414x5velheza2m8u84nze,italy,48476,Primera División,Soccer,2020-02-08,1901882.0,0.025488437242689083
4wk37qmuqrh3s373ejg7opvfe,japan,20269,FIA F1 World Championship,Motorsport,2019-09-28,1882336.0,0.010768003162028458
c5id3i805d4acghiufiskr1aj,canada,64732,Premier League,Soccer,2020-06-21,269869.0,0.23986452686303356
zhydtvqv47zcbakvrxea7q7e,italy,7099,Serie B,Soccer,2020-07-17,1851248.0,0.003834710422374528
92r0eh0vnlntnywfphyywfvu,japan,28302,Primera División,Soccer,2020-06-28,1704368.0,0.01660556875041071
2yf0yrg037ucu2c1su2ngqwdm,japan,127160,J2 League,Soccer,2020-06-28,1704368.0,0.07460830055480976
t5pl1ppjqd624d7pug9ae2ju,japan,24719,J3 League,Soccer,2020-06-28,1704368.0,0.014503323225969979
bcpvqsv7np2w76cjt9uakrc6i,brazil,35144,Paranaense 1,Soccer,2020-02-29,1137762.0,0.03088870958952751
a5ore0q73vbm3biy3p29gja8w,italy,52578,Serie B,Soccer,2019-11-23,1853651.0,0.028364562692761476
6yelvf1zl16p49gz2h5a3ypuy,brazil,24375,Ligue 1,Soccer,2020-03-01,1140737.0,0.02136776487481339
a7qn75dmqjq34stc1imldwfe,dach,8232,Primera División,Soccer,2020-07-01,2133896.0,0.003857732523047046
4jg3uaasuuc2cbx1zmmxn4cbu,dach,43627,Serie A,Soccer,2020-07-29,2147547.0,0.020314805682948963
auyhp0qq150h0x25g75y175uy,dach,83453,UEFA Champions League,Soccer,2019-11-27,2506504.0,0.03329458081854248
71vyfi6gsfwpsx0x0qwgfy99m,dach,52690,Eredivisie,Soccer,2019-10-27,2424418.0,0.0217330509837825
168lk16eoito6zigd6ejufo8a,dach,334844,Bundesliga,Soccer,2019-10-25,2430565.0,0.1377638532604559
49y8f7i1ijrw21uyhd7llv7u2,dach,248698,FA Cup,Soccer,2020-01-05,2485436.0,0.10006212189732505
7b3nfbwzfrfiqpa684uj9j7c2,dach,79237,UK Open,Darts,2020-03-07,2693489.0,0.02941797794607663
f193t7a94h25jmtkvzvqnt5yi,dach,61748,NFL,American Football,2019-10-13,2439466.0,0.02531209699171868
cbbxk35yuzqclt96jucaktyzu,dach,34280,NFL,American Football,2019-10-04,2455323.0,0.013961503231957668
cca1svzn0mwfbotpunnmmda3u,dach,62943,NFL,American Football,2019-10-06,2473574.0,0.025446176261555143
4ahnrm7qciugke07l8uaqfgu6,dach,38249,World Grand Prix,Darts,2019-10-06,2473574.0,0.015463050630383404
cetelvuy5tp5tnmrcb1q6d3sa,canada,38356,NFL,American Football,2019-10-06,312598.0,0.1227007210538775
eayg3gu1svyt9fovpalpbxgtm,italy,61566,Primera División,Soccer,2019-09-25,1988611.0,0.0309592977208715
9m78ovl74eor93unmjiwszxwq,japan,3898,B1 League,Basketball,2020-02-16,1617448.0,0.002409969284947646
3cdym4hz3z4llsuwvs9zlwuay,japan,21933,Serie A,Soccer,2019-10-06,1867156.0,0.011746742104034157
763mna9gvwat6zbhp55j8t84q,italy,5608,Eredivisie,Soccer,2019-11-10,1869684.0,0.0029994373380742415
b89veyhbhbc3rur6duyubhm6e,japan,2001,Abierto Mexicano TELCEL Women Single,Tennis,2020-02-24,1672581.0,0.0011963546160096282
7bpsj53y5u51867toxhzu5kru,japan,5326,B1 League,Basketball,2019-10-19,1867053.0,0.0028526238944475597
